#RESOURCE=yCat_120590137
#Name: J/AcA/59/137
#Title: ASAS Galactic fundamental mode RR Lyrae stars (Szczygiel+, 2009)
#Table	J_AcA_59_137_table1:
#Name: J/AcA/59/137/table1
#Title: Fourier parameters for 1423 ASAS RRab stars
#Column	a0	(F9.6)	a0 Fourier parameter	[ucd=stat.fit.param]
#Column	a1	(F9.6)	a1 Fourier parameter	[ucd=stat.fit.param]
#Column	phi1	(F9.6)	{phi}1 Fourier parameter	[ucd=stat.fit.param]
#Column	a2	(F9.6)	a2 Fourier parameter	[ucd=stat.fit.param]
#Column	phi2	(F9.6)	{phi}2 Fourier parameter	[ucd=stat.fit.param]
#Column	a3	(F9.6)	a3 Fourier parameter	[ucd=stat.fit.param]
#Column	phi3	(F9.6)	{phi}3 Fourier parameter	[ucd=stat.fit.param]
#Column	a4	(F9.6)	a4 Fourier parameter	[ucd=stat.fit.param]
#Column	phi4	(F9.6)	{phi}4 Fourier parameter	[ucd=stat.fit.param]
#Column	a5	(F9.6)	a5 Fourier parameter	[ucd=stat.fit.param]
#Column	phi5	(F9.6)	{phi}5 Fourier parameter	[ucd=stat.fit.param]
#Column	a6	(F9.6)	a6 Fourier parameter	[ucd=stat.fit.param]
#Column	phi6	(F9.6)	{phi}6 Fourier parameter	[ucd=stat.fit.param]
#a0	a1	phi1	a2	phi2	a3	phi3	a4	phi4	a5	phi5	a6	phi6
#mag	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad	mag	rad
#---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------	---------
13.439925	-0.275375	 0.919833	-0.149692	 1.088864	 0.104296	 4.805547	 0.050918	 5.337826	-0.016635	 3.024903	 0.009722	 0.274530
13.627243	 0.446019	 4.123274	-0.208789	 1.022724	 0.145487	 4.389479	-0.097748	 1.686503	-0.065954	 2.049431	 0.069857	 5.929086
13.756598	 0.360296	 4.051215	-0.174885	 0.853302	-0.120106	 1.129095	-0.069947	 1.381045	-0.050655	 1.245899	-0.080143	 1.967495
14.060322	 0.429628	 3.929722	-0.204027	 0.791550	-0.137373	 0.999033	-0.075185	 1.242111	 0.071758	 5.079257	-0.037581	 2.533089
13.211191	 0.367819	 4.492268	-0.115497	 1.750551	 0.045942	 4.921956	-0.023990	 1.543180	 0.022436	 5.237448	 0.022322	 5.047647
13.051410	 0.331958	 4.036795	-0.171528	 1.056977	-0.112699	 1.499103	 0.072095	 5.149081	-0.033809	 2.272691	 0.026789	 0.136831
12.736393	 0.308781	 4.187108	-0.133764	 1.308090	 0.085016	 4.835031	 0.037807	 5.227823	 0.025396	 5.748406	 0.009736	 5.133874
12.732539	 0.390497	 4.283867	 0.138760	 4.598492	-0.067057	 1.889284	 0.043194	 5.481211	 0.019531	 5.721464	 0.020536	 4.933766
 9.754135	-0.317881	 0.783992	-0.154326	 0.795729	 0.105705	 4.292091	-0.070754	 1.554807	-0.035140	 2.001808	 0.015092	 5.482571
13.886694	 0.281572	 4.214599	 0.013426	 5.224004	-0.042237	 1.267968	 0.015165	 1.140323	 0.016443	 1.638579	 0.022339	 5.098941
12.022180	-0.313208	 0.857834	-0.130220	 0.923811	-0.095536	 1.153626	-0.055088	 1.593721	 0.035880	 5.402951	 0.013067	 5.684082
13.466309	-0.311181	 0.816450	-0.147178	 0.758248	-0.128494	 1.007325	 0.098796	 4.580201	 0.038965	 4.619778	 0.039982	 5.451026
13.934820	-0.250972	 0.797870	-0.143520	 1.026257	-0.083874	 0.913095	 0.096649	 5.226425	 0.014859	 5.654543	-0.015932	 2.319146
12.901991	-0.193380	 1.037250	 0.081498	 4.626395	 0.042795	 5.504595	 0.026635	 0.501315	 0.009870	 1.351636	-0.003510	 0.813402
12.647897	-0.387820	 0.834647	-0.198767	 1.118806	 0.107092	 4.675202	 0.057470	 5.062697	-0.039211	 2.232035	-0.022003	 2.840864
13.690107	 0.402149	 4.281445	-0.198645	 1.309591	-0.157588	 1.865892	 0.099213	 5.897442	 0.057251	 0.126830	 0.041431	 0.629900
14.337595	 0.254357	 5.171067	 0.126612	 0.385854	-0.079678	 5.930511	-0.041978	 1.792757	-0.040513	 1.845022	 0.023574	 0.709648
13.878098	-0.245117	 0.908384	-0.137206	 1.197444	-0.083246	 1.790574	-0.040786	 2.034555	 0.024354	 5.760889	 0.016940	 5.766599
13.722883	 0.255616	 4.192073	 0.149072	 4.510542	 0.085718	 5.372477	 0.041784	 5.979133	 0.020147	 0.915032	 0.009085	 6.025016
13.450166	-0.278815	 0.735703	-0.131434	 1.151252	 0.074699	 4.942341	-0.030629	 2.036466	 0.027000	 6.198406	 0.019967	 5.852084
13.831665	 0.353755	 4.269694	-0.115376	 1.168504	-0.083343	 1.526821	 0.056814	 5.468152	-0.014311	 6.084017	 0.025048	 4.938565
14.201132	 0.393609	 3.905315	 0.159234	 4.097456	-0.112674	 1.152224	-0.072842	 1.335910	-0.074743	 1.099066	-0.059235	 2.563851
